Id;Label;City;State;Country;Operating Status;Company Type;Number of Investments;Number of Lead Investments;Number of Diversity Investments;Number of Exits;Number of Lead Investors;Number of Investors;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount;Last Funding Type;Last Equity Funding Type;Last Equity Funding Amount;Total Funding Amount;Number of Events;Aberdeen - IT Spend;Lat Country;Long Country;Lat State;Long State
Hoxton Ventures;Hoxton Ventures;London; England; United Kingdom;Active;Non Profit;71;28;1;13;0;0;0;;;0;;;0;0;1;34394185;54,7023545;-3,2765753;52,5310214;-1,2649062
In-Q-Tel;In-Q-Tel;Arlington; Virginia; United States;Active;Non Profit;249;66;20;92;0;0;0;;;0;;;0;0;1;885464;39,7837304;-100,445882;37,1232245;-78,4927721
ICONIQ Growth;ICONIQ Growth;San Francisco; California; United States;Active;Non Profit;45;22;6;2;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
PlaceHolder;PlaceHolder;Tokyo; Tokyo; Japan;Active;For Profit;0;0;0;0;3;7;4;;12/11/2020;0;Corporate Round;Corporate Round;0;11665097;0;0;36,5748441;139,2394179;35,6821936;139,762221
Highland Capital Partners;Highland Capital Partners;Palo Alto; California; United States;Active;Non Profit;488;153;60;145;0;0;0;;;0;;;0;0;2;0;39,7837304;-100,445882;36,7014631;-118,755997
Maveron;Maveron;San Francisco; California; United States;Active;Non Profit;280;75;72;63;0;0;0;;;0;;;0;0;1;0;39,7837304;-100,445882;36,7014631;-118,755997
Harlem Capital Partners;Harlem Capital Partners;New York; New York; United States;Active;Non Profit;45;24;33;2;0;0;0;;;0;;;0;0;1;0;39,7837304;-100,445882;40,7127281;-74,0060152
PeakSpan Capital;PeakSpan Capital;Burlingame; California; United States;Active;Non Profit;36;29;3;6;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Salesforce Ventures;Salesforce Ventures;San Francisco; California; United States;Active;Non Profit;640;124;90;124;0;0;0;;;0;;;0;0;7;0;39,7837304;-100,445882;36,7014631;-118,755997
Matrix Partners China;Matrix Partners China;Beijing; Beijing; China;Active;Non Profit;633;206;7;42;0;0;0;;;0;;;0;0;0;0;35,000074;104,999927;39,9057136;116,3912972
Kapor Capital;Kapor Capital;Oakland; California; United States;Active;Non Profit;241;27;119;50;0;0;0;;;0;;;0;0;3;0;39,7837304;-100,445882;36,7014631;-118,755997
Kindred Capital;Kindred Capital;London; England; United Kingdom;Active;Non Profit;63;22;1;4;0;0;0;;;0;;;0;0;1;13183591;54,7023545;-3,2765753;52,5310214;-1,2649062
Kreos Capital;Kreos Capital;London; England; United Kingdom;Active;For Profit;118;45;1;45;0;0;0;;;0;;;0;0;0;5054396;54,7023545;-3,2765753;52,5310214;-1,2649062
Maverick Ventures;Maverick Ventures;San Francisco; California; United States;Active;Non Profit;175;51;33;34;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Greyhound Capital;Greyhound Capital;London; England; United Kingdom;Active;Non Profit;57;3;2;5;0;0;0;;;0;;;0;0;0;0;54,7023545;-3,2765753;52,5310214;-1,2649062
LocalGlobe;LocalGlobe;London; England; United Kingdom;Active;Non Profit;329;85;20;47;0;0;0;;;0;;;0;0;1;0;54,7023545;-3,2765753;52,5310214;-1,2649062
I Squared Capital;I Squared Capital;New York; New York; United States;Active;Non Profit;11;5;0;1;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
IA Ventures;IA Ventures;New York; New York; United States;Active;Non Profit;144;34;20;28;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
Highland Europe;Highland Europe;Geneva; Geneve; Switzerland;Active;Non Profit;99;56;1;19;0;0;0;;;0;;;0;0;2;0;46,7985624;8,2319736;46,2017559;6,1466014
