Id;Label;City;State;Country;Operating Status;Company Type;Number of Investments;Number of Lead Investments;Number of Diversity Investments;Number of Exits;Number of Lead Investors;Number of Investors;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount;Last Funding Type;Last Equity Funding Type;Last Equity Funding Amount;Total Funding Amount;Number of Events;Aberdeen - IT Spend;Lat Country;Long Country;Lat State;Long State
Tencent;Tencent;Shenzhen; Guangdong; China;Active;For Profit;693;375;15;125;1;4;6;IPO;29/05/2020;6000000000;Post-IPO Debt;Post-IPO Equity;44350000;12576770000;22;0;35,000074;104,999927;23,1357694;113,1982688
Warburg Pincus;Warburg Pincus;New York; New York; United States;Active;Non Profit;433;286;22;131;0;0;1;;3/08/2021;38028202;Venture - Series Unknown;Venture - Series Unknown;38028202;38028202;0;53801;39,7837304;-100,445882;40,7127281;-74,0060152
Twitter;Twitter;San Francisco; California; United States;Active;For Profit;10;2;1;3;9;37;19;IPO;4/03/2022;2890000000;Post-IPO Equity;Post-IPO Equity;2890000000;4430191511;77;0;39,7837304;-100,445882;36,7014631;-118,755997
Ubisoft;Ubisoft;Montreuil-sous-bois; Ile-de-France; France;Active;For Profit;9;0;0;1;1;4;3;IPO;21/03/2018;763021367;Post-IPO Secondary;Post-IPO Equity;7629264;770650631;16;0;46,603354;1,8883335;48,6443057;2,7537863
WeWork;WeWork;New York; New York; United States;Active;For Profit;9;6;4;2;11;24;21;IPO;29/10/2021;150000000;Post-IPO Equity;Post-IPO Equity;150000000;21595784331;120;343977;39,7837304;-100,445882;40,7127281;-74,0060152
Wagestream;Wagestream;London; England; United Kingdom;Active;For Profit;1;0;0;0;6;15;7;Late Stage Venture;13/04/2022;115000000;Debt Financing;Series C;60000000;254323381;0;0;54,7023545;-3,2765753;52,5310214;-1,2649062
Xendit;Xendit;Jakarta; Jakarta Raya; Indonesia;Active;For Profit;5;3;0;0;3;9;6;Late Stage Venture;14/09/2021;150000000;Series C;Series C;150000000;214720000;1;0;-2,4833826;117,8902853;-6,2714155;106,7524204
Techstars;Techstars;Boulder; Colorado; United States;Active;For Profit;3569;491;795;363;1;11;6;;17/05/2021;4999999;Venture - Series Unknown;Venture - Series Unknown;4999999;108799999;318;26964318;39,7837304;-100,445882;38,7251776;-105,607716
StartEngine;StartEngine;West Hollywood; California; United States;Active;Non Profit;211;19;21;3;1;11;8;;10/12/2021;50000000;Equity Crowdfunding;Equity Crowdfunding;50000000;87608095;2;36167;39,7837304;-100,445882;36,7014631;-118,755997
Verizon;Verizon;New York; New York; United States;Active;For Profit;15;8;2;3;1;3;8;IPO;18/03/2022;11800000;Grant;Post-IPO Equity;21271935000;30091614466;71;0;39,7837304;-100,445882;40,7127281;-74,0060152
Terra;Terra;Seoul;Seoul; South Korea;Active;For Profit;14;2;1;0;8;31;15;;26/01/2021;25000000;Venture - Series Unknown;Venture - Series Unknown;25000000;58000000;1;0;36,638392;127,6961188;37,5666791;126,9782914
Wyre;Wyre;San Francisco; California; United States;Active;For Profit;0;0;0;0;5;25;8;M&A;26/01/2021;7500000;Venture - Series Unknown;Venture - Series Unknown;7500000;29146000;2;831126;39,7837304;-100,445882;36,7014631;-118,755997
Zomato;Zomato;Gurgaon; Haryana; India;Active;For Profit;15;13;0;2;12;25;21;IPO;22/02/2021;250000000;Venture - Series Unknown;Venture - Series Unknown;250000000;2100568357;0;0;22,3511148;78,6677428;29;76
SpaceX;SpaceX;Hawthorne; California; United States;Active;For Profit;0;0;0;0;9;65;63;;21/04/2022;69950000;Grant;Venture - Series Unknown;337355200;7788578366;10;35338360;39,7837304;-100,445882;36,7014631;-118,755997
Twitch;Twitch;San Francisco; California; United States;Active;For Profit;0;0;0;0;2;9;3;M&A;30/09/2013;20000000;Series C;Series C;20000000;35000000;24;0;39,7837304;-100,445882;36,7014631;-118,755997
SAP;SAP;Walldorf; Baden-Wurttemberg; Germany;Active;For Profit;29;7;0;14;1;2;2;IPO;24/04/2019;1300000000;Post-IPO Equity;Post-IPO Equity;1300000000;1301371240;239;67473085;51,1638175;10,4478313;48,53775;9,041169
Wefunder;Wefunder;San Francisco; California; United States;Active;For Profit;15;1;4;2;0;24;10;Seed;1/06/2021;0;Seed;Seed;0;9130000;1;0;39,7837304;-100,445882;36,7014631;-118,755997
Swiggy;Swiggy;Bangalore; Karnataka; India;Active;For Profit;6;2;0;2;15;41;17;;24/01/2022;1250000000;Undisclosed;Undisclosed;1250000000;4828380000;0;0;22,3511148;78,6677428;14,5203896;75,7223521
Tive;Tive;Boston; Massachusetts; United States;Active;For Profit;0;0;0;0;5;18;7;Early Stage Venture;11/04/2022;54000000;Series B;Series B;54000000;81929989;6;0;39,7837304;-100,445882;42,3788774;-72,032366
Stanza Living;Stanza Living;New Delhi; Delhi; India;Active;For Profit;0;0;0;0;8;14;7;Late Stage Venture;23/03/2022;55518002;Debt Financing;Series D;102000000;227693327;0;0;22,3511148;78,6677428;28,6273928;77,1716954
Twilio;Twilio;San Francisco; California; United States;Active;For Profit;16;2;4;2;7;24;11;IPO;28/07/2021;378215525;Post-IPO Equity;Post-IPO Equity;378215525;614415525;98;253802890;39,7837304;-100,445882;36,7014631;-118,755997
UrbanPiper;UrbanPiper;Bengaluru; Karnataka; India;Active;For Profit;0;0;0;0;5;10;5;Early Stage Venture;17/04/2022;24000000;Series B;Series B;24000000;39180783;0;0;22,3511148;78,6677428;14,5203896;75,7223521
Tesla;Tesla;Austin; Texas; United States;Active;For Profit;1;0;0;0;15;42;36;IPO;9/05/2020;565000000;Post-IPO Debt;Post-IPO Equity;860000000;20182508761;14;0;39,7837304;-100,445882;31,2638905;-98,5456116
Zilingo;Zilingo;Singapore; Central Region; Singapore;Active;For Profit;0;0;0;0;6;21;6;;5/12/2019;0;Venture - Series Unknown;Venture - Series Unknown;0;307880000;0;0;1,357107;103,8194992;1,28593325;103,8070165
Xiaohongshu;Xiaohongshu;Shanghai; Shanghai; China;Active;For Profit;4;2;0;0;5;10;8;Late Stage Venture;8/11/2021;500000000;Series E;Series E;500000000;917691787;0;0;35,000074;104,999927;31,2312707;121,4700152
Uniphore;Uniphore;Palo Alto; California; United States;Active;For Profit;0;0;0;0;9;22;8;Late Stage Venture;16/02/2022;400000000;Series E;Series E;400000000;620875000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Sonos;Sonos;Santa Barbara; California; United States;Active;For Profit;1;1;0;0;3;7;10;IPO;12/07/2018;0;Secondary Market;Series G;99000000;455150000;6;100215712;39,7837304;-100,445882;36,7014631;-118,755997
Sanofi;Sanofi;Paris; Ile-de-France; France;Active;For Profit;22;12;3;11;2;2;2;IPO;15/03/2022;329024934;Post-IPO Equity;Post-IPO Equity;329024934;639024935;13;0;46,603354;1,8883335;48,6443057;2,7537863
Thunes;Thunes;Singapore; Central Region; Singapore;Active;For Profit;2;1;0;0;3;5;3;Early Stage Venture;18/05/2021;60000000;Series B;Series B;60000000;130000000;4;0;1,357107;103,8194992;1,28593325;103,8070165
Turo;Turo;San Francisco; California; United States;Active;For Profit;0;0;0;0;6;30;13;;1/04/2022;35167273;Venture - Series Unknown;Venture - Series Unknown;35167273;502567273;3;656386;39,7837304;-100,445882;36,7014631;-118,755997
Treinta;Treinta;BogotÃ¡; Distrito Especial; Colombia;Active;For Profit;0;0;0;0;2;25;4;Early Stage Venture;4/04/2022;46000000;Series A;Series A;46000000;60800000;0;0;4,099917;-72,9088133;3,8881929;-77,0738324
Zume;Zume;Camarillo; California; United States;Active;For Profit;0;0;0;0;3;10;7;Private Equity;2/11/2018;375000000;Private Equity;Private Equity;375000000;423000000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Yieldstreet;Yieldstreet;New York; New York; United States;Active;For Profit;1;0;0;0;7;16;7;Late Stage Venture;17/11/2021;50000000;Series C;Series C;50000000;328500000;2;291281;39,7837304;-100,445882;40,7127281;-74,0060152
Yokoy;Yokoy;ZÃ¼rich; Zurich; Switzerland;Active;For Profit;0;0;0;0;4;10;3;Early Stage Venture;29/03/2022;80000000;Series B;Series B;80000000;107776168;0;0;46,7985624;8,2319736;47,3744489;8,5410422
Solana;Solana;San Francisco; California; United States;Closed;For Profit;13;0;0;0;3;32;6;;9/06/2021;314000000;Initial Coin Offering;Initial Coin Offering;314000000;335760000;1;0;39,7837304;-100,445882;36,7014631;-118,755997
Samsung Electronics;Samsung Electronics;Seoul;Seoul; South Korea;Active;For Profit;45;17;2;15;0;1;2;M&A;7/07/2020;195199;Seed;Seed;195199;195200;175;0;36,638392;127,6961188;37,5666791;126,9782914
Shopify;Shopify;Ottawa; Ontario; Canada;Active;For Profit;11;2;0;0;5;8;4;IPO;11/12/2013;100000000;Series C;Series C;100000000;122250000;56;236725950;61,0666922;-107,991707;50,000678;-86,000977
Whatfix;Whatfix;San Jose; California; United States;Active;For Profit;0;0;0;0;5;18;8;Late Stage Venture;8/06/2021;90000000;Series D;Series D;90000000;139845000;7;0;39,7837304;-100,445882;36,7014631;-118,755997
Trace;Trace;Austin; Texas; United States;Active;For Profit;0;0;0;0;2;9;7;Late Stage Venture;12/04/2022;47000000;Series C;Series C;47000000;68000000;0;0;39,7837304;-100,445882;31,2638905;-98,5456116
Yandex;Yandex;Moscow; Moscow City; Russian Federation;Active;For Profit;21;9;1;4;3;7;6;IPO;25/06/2020;1000000000;Post-IPO Equity;Post-IPO Equity;1000000000;1016300000;14;0;64,6863136;97,7453061;55,7628614;37,6532293
Vytalize Health;Vytalize Health;Hoboken; New Jersey; United States;Active;For Profit;0;0;0;0;4;11;5;Early Stage Venture;11/04/2022;47000000;Series B;Series B;47000000;75500000;0;0;39,7837304;-100,445882;40,0757384;-74,4041622
Sophos;Sophos;Abingdon; Oxfordshire; United Kingdom;Active;For Profit;0;0;0;0;0;1;2;M&A;24/08/2021;65229600;Post-IPO Equity;Post-IPO Equity;65229600;125010656;57;0;54,7023545;-3,2765753;51,833333;-1,25
Squire;Squire;New York; New York; United States;Active;For Profit;0;0;0;0;5;23;10;Late Stage Venture;28/07/2021;60000000;Series D;Series D;60000000;167070000;1;0;39,7837304;-100,445882;40,7127281;-74,0060152
Satellogic;Satellogic;Montevideo; NA - Uruguay; Uruguay;Active;For Profit;0;0;0;0;6;13;9;IPO;26/01/2022;250000000;Post-IPO Equity;Post-IPO Equity;250000000;373800000;0;0;-32,8755548;-56,0201525;28,4678872;-16,2677961
The Honest Company;The Honest Company;Santa Monica; California; United States;Active;For Profit;1;0;1;1;7;14;7;IPO;7/06/2018;200000000;Private Equity;Private Equity;200000000;503000000;2;2479306;39,7837304;-100,445882;36,7014631;-118,755997
SiFive;SiFive;San Mateo; California; United States;Active;For Profit;0;0;0;0;6;16;6;Late Stage Venture;16/03/2022;175000000;Series F;Series F;175000000;365500000;3;0;39,7837304;-100,445882;36,7014631;-118,755997
Shift;Shift;San Francisco; California; United States;Active;For Profit;0;0;0;0;5;25;11;IPO;15/03/2022;20000000;Post-IPO Debt;Post-IPO Equity;185000000;504000000;2;51578;39,7837304;-100,445882;36,7014631;-118,755997
Zeta;Zeta;San Francisco; California; United States;Active;For Profit;1;1;0;0;3;3;3;;7/03/2022;30000000;Venture - Series Unknown;Venture - Series Unknown;30000000;340000000;2;0;39,7837304;-100,445882;36,7014631;-118,755997
Sayurbox;Sayurbox;Jakarta; Jakarta Raya; Indonesia;Active;For Profit;0;0;0;0;3;6;4;Late Stage Venture;21/03/2022;118533393;Series C;Series C;118533393;139183393;2;0;-2,4833826;117,8902853;-6,2714155;106,7524204
Venture Catalysts;Venture Catalysts;Mumbai; Maharashtra; India;Active;Non Profit;244;122;1;11;0;2;2;Seed;5/04/2018;0;Seed;Seed;0;500000;0;0;22,3511148;78,6677428;18,9068356;75,6741579
SoftBank;SoftBank;Tokyo; Tokyo; Japan;Active;For Profit;308;151;37;81;1;2;2;IPO;3/03/2022;865943315;Post-IPO Debt;Private Equity;1000000000;1865943315;7;0;36,5748441;139,2394179;35,6821936;139,762221
Viberate;Viberate;Ljubljana;Ljubljana; Slovenia;Active;For Profit;0;0;0;0;0;2;4;Early Stage Venture;31/01/2022;3500000;Series A;Series A;3500000;15500000;0;0;46,1199444;14,8153333;46,0500268;14,5069289
Silver Lake;Silver Lake;Menlo Park; California; United States;Active;For Profit;119;69;13;47;3;3;3;Private Equity;6/07/2021;40000000;Private Equity;Private Equity;40000000;2040000000;0;3206;39,7837304;-100,445882;36,7014631;-118,755997
Vontive;Vontive;San Francisco; California; United States;Active;For Profit;0;0;0;0;2;9;4;Early Stage Venture;6/04/2022;110000000;Debt Financing;Series B;25000000;143000000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Zoom;Zoom;San Jose; California; United States;Active;For Profit;24;12;1;3;5;19;8;IPO;4/11/2021;130000000;Post-IPO Equity;Post-IPO Equity;130000000;276000000;44;204574021;39,7837304;-100,445882;36,7014631;-118,755997
Substack;Substack;San Francisco; California; United States;Active;For Profit;0;0;0;0;2;15;4;Early Stage Venture;31/03/2021;65000000;Series B;Series B;65000000;82420000;1;0;39,7837304;-100,445882;36,7014631;-118,755997
UpGrad;UpGrad;Mumbai; Maharashtra; India;Active;For Profit;0;0;0;0;5;5;4;;9/08/2021;65000000;Venture - Series Unknown;Venture - Series Unknown;65000000;200986963;1;0;22,3511148;78,6677428;18,9068356;75,6741579
The EVERY Company;The EVERY Company;South San Francisco; California; United States;Active;For Profit;0;0;0;0;5;25;9;Late Stage Venture;7/12/2021;175000000;Series C;Series C;175000000;239750000;1;0;39,7837304;-100,445882;36,7014631;-118,755997
Stripe;Stripe;San Francisco; California; United States;Active;For Profit;49;21;6;1;14;48;19;;18/03/2022;0;Secondary Market;Venture - Series Unknown;0;2235100000;40;47542633;39,7837304;-100,445882;36,7014631;-118,755997
SparkCognition;SparkCognition;Austin; Texas; United States;Active;For Profit;0;0;0;0;10;31;8;Late Stage Venture;25/01/2022;123000000;Series D;Series D;123000000;286581738;6;5628874;39,7837304;-100,445882;31,2638905;-98,5456116
Zebra Technologies;Zebra Technologies;Lincolnshire; Illinois; United States;Active;For Profit;1;1;0;0;0;6;2;IPO;16/09/2014;2000000000;Post-IPO Debt;Post-IPO Equity;0;2000000000;26;0;39,7837304;-100,445882;40,0796606;-89,4337288
Zendesk;Zendesk;San Francisco; California; United States;Active;For Profit;7;2;1;2;5;11;8;IPO;18/09/2019;0;Grant;Post-IPO Equity;0;85500000;72;148319831;39,7837304;-100,445882;36,7014631;-118,755997
Startup Wise Guys;Startup Wise Guys;Tallinn; Harjumaa; Estonia;Active;Non Profit;346;89;4;7;0;1;1;;1/01/2019;10086121;Undisclosed;Undisclosed;10086121;10086122;17;0;58,7523778;25,3319078;59,409009;24,73695718
Wonderschool;Wonderschool;San Francisco; California; United States;Active;For Profit;0;0;0;0;5;31;8;Early Stage Venture;11/01/2022;25000000;Series B;Series B;25000000;49100000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Uber;Uber;San Francisco; California; United States;Active;For Profit;22;8;2;5;20;116;33;IPO;14/09/2020;500000000;Post-IPO Debt;Post-IPO Equity;500000000;25212450000;75;882646852;39,7837304;-100,445882;36,7014631;-118,755997
Wayflyer;Wayflyer;Dublin; Dublin; Ireland;Active;Non Profit;0;0;0;0;3;16;5;Early Stage Venture;1/02/2022;150000000;Series B;Series B;150000000;336200000;0;0;52,865196;-7,9794599;53,3493795;-6,2605593
Stockal;Stockal;New York; New York; United States;Active;For Profit;0;0;0;0;6;21;6;Early Stage Venture;14/04/2022;8995225;Series A;Series A;8995225;14795225;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
Sequoia Capital;Sequoia Capital;Menlo Park; California; United States;Active;Non Profit;1676;624;190;347;0;0;0;;;0;;;0;0;55;3727262;39,7837304;-100,445882;36,7014631;-118,755997
Securitize;Securitize;San Francisco; California; United States;Active;For Profit;0;0;0;0;3;34;9;Early Stage Venture;21/06/2021;48000000;Series B;Series B;48000000;100200000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Somatus;Somatus;Mclean; Virginia; United States;Active;For Profit;0;0;0;0;5;13;5;Late Stage Venture;22/02/2022;325000000;Series E;Series E;325000000;465120000;0;0;39,7837304;-100,445882;37,1232245;-78,4927721
Trell;Trell;Bangalore City; Karnataka; India;Active;For Profit;1;0;0;0;10;35;8;Early Stage Venture;12/07/2021;44941137;Series B;Series B;44941137;61891137;0;0;22,3511148;78,6677428;14,5203896;75,7223521
WinZO;WinZO;New Delhi; Delhi; India;Active;For Profit;2;0;0;0;5;14;6;Late Stage Venture;2/07/2021;65000000;Series C;Series C;65000000;110500000;0;0;22,3511148;78,6677428;28,6273928;77,1716954
Stax;Stax;Orlando; Florida; United States;Active;For Profit;0;0;0;0;2;10;5;Late Stage Venture;8/03/2022;245000000;Series D;Series D;245000000;263250000;0;0;39,7837304;-100,445882;27,7567667;-81,4639835
SamCart;SamCart;Austin; Texas; United States;Active;For Profit;0;0;0;0;2;5;3;Early Stage Venture;7/04/2022;82000000;Series B;Series B;82000000;95000000;0;0;39,7837304;-100,445882;31,2638905;-98,5456116
Voyager;Voyager;Jersey City; New Jersey; United States;Active;For Profit;3;1;0;1;1;3;4;IPO;12/02/2021;100000000;Post-IPO Equity;Post-IPO Equity;100000000;100110545;0;0;39,7837304;-100,445882;40,0757384;-74,4041622
Snapdeal;Snapdeal;Gurgaon; Haryana; India;Active;For Profit;9;7;0;5;15;26;14;;23/07/2019;0;Venture - Series Unknown;Venture - Series Unknown;0;1776260825;1;0;22,3511148;78,6677428;29;76
Silverfort;Silverfort;Tel Aviv; Tel Aviv; Israel;Active;For Profit;0;0;0;0;4;11;7;Late Stage Venture;12/04/2022;65000000;Series C;Series C;65000000;106500000;4;0;30,8124247;34,8594762;32,0852997;34,7818064
Trinity Capital;Trinity Capital;Phoenix; Arizona; United States;Active;Non Profit;83;8;12;34;0;0;1;IPO;5/04/2022;50000000;Post-IPO Equity;Post-IPO Equity;50000000;50000000;1;0;39,7837304;-100,445882;34,395342;-111,763275
Sendoso;Sendoso;San Francisco; California; United States;Active;For Profit;0;0;0;0;4;11;5;Late Stage Venture;14/09/2021;100000000;Series C;Series C;100000000;152700000;6;204070;39,7837304;-100,445882;36,7014631;-118,755997
waresix;waresix;Jakarta; Jakarta Raya; Indonesia;Active;For Profit;0;0;0;0;6;13;8;Early Stage Venture;12/04/2022;50000000;Series B;Series B;50000000;179000000;0;0;-2,4833826;117,8902853;-6,2714155;106,7524204
Tomo;Tomo;Stamford; Connecticut; United States;Active;For Profit;0;0;0;0;4;12;4;Early Stage Venture;21/03/2022;40000000;Series A;Series A;40000000;110000000;0;0;39,7837304;-100,445882;41,6500201;-72,7342163
Welcome Tech;Welcome Tech;Los Angeles; California; United States;Active;For Profit;0;0;0;0;4;12;6;;14/04/2022;30000000;Venture - Series Unknown;Venture - Series Unknown;30000000;73000000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Sorare;Sorare;Paris; Ile-de-France; France;Active;For Profit;0;0;0;0;5;35;4;Early Stage Venture;20/09/2021;680000000;Series B;Series B;680000000;739245791;0;0;46,603354;1,8883335;48,6443057;2,7537863
Traveloka;Traveloka;Jakarta; Jakarta Raya; Indonesia;Active;For Profit;6;3;0;0;5;9;6;;28/07/2020;250000000;Venture - Series Unknown;Venture - Series Unknown;250000000;1170000000;0;0;-2,4833826;117,8902853;-6,2714155;106,7524204
TrueLayer;TrueLayer;London; England; United Kingdom;Active;For Profit;1;0;0;0;7;24;8;Late Stage Venture;21/09/2021;129684591;Series E;Series E;129684591;271484591;4;32276994;54,7023545;-3,2765753;52,5310214;-1,2649062
Triple Whale;Triple Whale;Jerusalem; Yerushalayim; Israel;Active;For Profit;0;0;0;0;2;3;2;Early Stage Venture;24/03/2022;24000000;Series A;Series A;24000000;27700000;0;0;30,8124247;34,8594762;31,7788242;35,2257626
Worldcoin;Worldcoin;Berlin; Berlin; Germany;Active;Non Profit;0;0;0;0;0;19;2;;23/03/2022;100000000;Undisclosed;Undisclosed;100000000;125000000;0;0;51,1638175;10,4478313;52,5170365;13,3888599
Shippo;Shippo;San Francisco; California; United States;Active;For Profit;1;0;0;0;4;20;10;;1/12/2021;0;Venture - Series Unknown;Venture - Series Unknown;0;154275000;3;1103079;39,7837304;-100,445882;36,7014631;-118,755997
Umba;Umba;San Francisco; California; United States;Active;For Profit;0;0;0;0;1;17;4;Early Stage Venture;13/04/2022;15000000;Series A;Series A;15000000;17000000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
SpotOn;SpotOn;San Francisco; California; United States;Active;For Profit;0;0;0;0;4;13;7;Late Stage Venture;13/09/2021;300000000;Series E;Series E;300000000;628000000;2;98952;39,7837304;-100,445882;36,7014631;-118,755997
Spring Health;Spring Health;New York; New York; United States;Active;For Profit;0;0;0;0;5;22;7;;1/03/2022;0;Venture - Series Unknown;Venture - Series Unknown;0;295500000;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
Tinder;Tinder;West Hollywood; California; United States;Active;For Profit;1;0;1;0;2;2;3;;10/10/2017;0;Undisclosed;Undisclosed;0;50000000;7;0;39,7837304;-100,445882;36,7014631;-118,755997
Zilch;Zilch;London; England; United Kingdom;Active;For Profit;0;0;0;0;4;6;5;Late Stage Venture;10/11/2021;109116010;Series C;Series C;109116010;339343574;0;0;54,7023545;-3,2765753;52,5310214;-1,2649062
WonderFi;WonderFi;Vancouver; British Columbia; Canada;Active;For Profit;1;1;0;1;5;10;5;IPO;26/10/2021;21304531;Post-IPO Debt;Series A;5600000;49086002;0;0;61,0666922;-107,991707;55,001251;-125,002441
WorkRamp;WorkRamp;San Carlos; California; United States;Active;For Profit;0;0;0;0;5;18;5;Late Stage Venture;23/03/2022;40000000;Series C;Series C;40000000;67200000;1;0;39,7837304;-100,445882;36,7014631;-118,755997
Tractable;Tractable;London; England; United Kingdom;Active;For Profit;0;0;0;0;6;17;8;Late Stage Venture;16/06/2021;60000000;Series D;Series D;60000000;119900000;13;8833351;54,7023545;-3,2765753;52,5310214;-1,2649062
ServiceTitan;ServiceTitan;Glendale; California; United States;Active;For Profit;0;0;0;0;7;16;8;Late Stage Venture;30/06/2021;200000000;Series G;Series G;200000000;1099777129;1;2106004;39,7837304;-100,445882;36,7014631;-118,755997
Yuga Labs;Yuga Labs;Miami; Florida; United States;Active;For Profit;0;0;0;0;1;36;1;Seed;22/03/2022;450000000;Seed;Seed;450000000;450000000;0;0;39,7837304;-100,445882;27,7567667;-81,4639835
Voyager Innovations;Voyager Innovations;Mandaluyong; Cavite; Philippines;Active;For Profit;0;0;0;0;5;11;5;Private Equity;12/04/2022;210000000;Convertible Note;Private Equity;167000000;712000000;0;0;12,7503486;122,7312101;14,2554073;120,8671503
TransUnion;TransUnion;Chicago; Illinois; United States;Active;For Profit;11;7;3;2;0;2;3;M&A;26/04/2018;1400000000;Post-IPO Debt;Venture - Series Unknown;7250806;1407250806;14;215261553;39,7837304;-100,445882;40,0796606;-89,4337288
Socure;Socure;Incline Village; Nevada; United States;Active;For Profit;0;0;0;0;8;30;14;Late Stage Venture;9/11/2021;450000000;Series E;Series E;450000000;646900000;16;120927;39,7837304;-100,445882;39,5158825;-116,853722
Viz;Viz;San Francisco; California; United States;Active;For Profit;0;0;0;0;8;16;7;Late Stage Venture;7/04/2022;100000000;Series D;Series D;100000000;251550000;2;0;39,7837304;-100,445882;36,7014631;-118,755997
Typeform;Typeform;Barcelona; Catalonia; Spain;Active;For Profit;0;0;0;0;5;15;5;Late Stage Venture;10/03/2022;135000000;Series C;Series C;135000000;187263316;7;4253342;39,3260685;-4,8379791;41,8523094;1,5745043
Socotra;Socotra;San Francisco; California; United States;Active;For Profit;0;0;0;0;4;17;6;Late Stage Venture;14/03/2022;50000000;Series C;Series C;50000000;93900000;5;170829;39,7837304;-100,445882;36,7014631;-118,755997
Spring;Spring;San Francisco; California; United States;Active;For Profit;0;0;0;0;2;11;6;;22/06/2017;5000000;Venture - Series Unknown;Venture - Series Unknown;5000000;61875000;3;0;39,7837304;-100,445882;36,7014631;-118,755997
ZestMoney;ZestMoney;Bangalore; Karnataka; India;Active;For Profit;0;0;0;0;7;16;10;Late Stage Venture;22/09/2021;50000000;Series C;Series C;50000000;118373925;1;0;22,3511148;78,6677428;14,5203896;75,7223521
Subject;Subject;Los Angeles; California; United States;Active;For Profit;0;0;0;0;2;42;4;Early Stage Venture;22/03/2022;29400000;Series A;Series A;29400000;34700000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Wasoko;Wasoko;Nairobi; Nairobi Area; Kenya;Active;For Profit;1;0;0;0;5;27;10;Early Stage Venture;16/03/2022;125000000;Series B;Series B;125000000;143600000;0;0;1,4419683;38,4313975;-0,2952892;36,1219804
Twingate;Twingate;Redwood City; California; United States;Active;For Profit;0;0;0;0;1;5;2;Early Stage Venture;14/04/2022;42000000;Series B;Series B;42000000;59000000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Sierra Oncology;Sierra Oncology;San Mateo; California; United States;Active;For Profit;0;0;0;0;3;12;13;M&A;31/01/2022;135000000;Post-IPO Equity;Post-IPO Equity;135000000;494131452;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Season Health;Season Health;Austin; Texas; United States;Active;For Profit;0;0;0;0;1;8;3;Early Stage Venture;4/04/2022;34000000;Series A;Series A;34000000;36550000;0;0;39,7837304;-100,445882;31,2638905;-98,5456116
ThoughtSpot;ThoughtSpot;Sunnyvale; California; United States;Active;For Profit;0;0;0;0;8;28;12;Late Stage Venture;15/11/2021;100000000;Series F;Series F;100000000;663700000;22;12431074;39,7837304;-100,445882;36,7014631;-118,755997
Spinny;Spinny;Gurgaon; Haryana; India;Active;For Profit;0;0;0;0;9;20;8;;14/12/2021;0;Undisclosed;Undisclosed;0;513470045;0;0;22,3511148;78,6677428;29;76
ShearShare;ShearShare;Mckinney; Texas; United States;Active;For Profit;0;0;0;0;3;20;5;Seed;25/03/2022;2300000;Seed;Seed;2300000;6160000;2;0;39,7837304;-100,445882;31,2638905;-98,5456116
Tarana Wireless;Tarana Wireless;Milpitas; California; United States;Active;For Profit;0;0;0;0;4;16;8;;23/03/2022;170000000;Venture - Series Unknown;Venture - Series Unknown;170000000;376142157;2;153640;39,7837304;-100,445882;36,7014631;-118,755997
SESO;SESO;San Francisco; California; United States;Active;For Profit;0;0;0;0;1;12;4;Early Stage Venture;14/04/2022;25000000;Series A;Series A;25000000;29500000;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Sary;Sary;Ar Riyadh; Ar Riyad; Saudi Arabia;Active;For Profit;1;1;0;0;4;13;4;Late Stage Venture;19/12/2021;74857477;Series C;Series C;74857477;111957478;0;0;25,6242618;42,3528328;23,333333;45,333333
Sweetgreen;Sweetgreen;Washington; District of Columbia; United States;Active;For Profit;3;0;2;0;5;24;15;IPO;19/09/2019;150000000;Series I;Series I;150000000;478595000;1;0;39,7837304;-100,445882;38,89384735;-76,98804282
Tinybird;Tinybird;New York; New York; United States;Active;For Profit;0;0;0;0;3;12;2;Early Stage Venture;5/04/2022;37000000;Series A;Series A;37000000;40000000;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
StarkWare Industries;StarkWare Industries;Netanya; HaMerkaz; Israel;Active;For Profit;7;0;0;0;3;30;5;Late Stage Venture;16/11/2021;50000000;Series C;Series C;50000000;173000000;0;0;30,8124247;34,8594762;31,7940368;35,1186309
SkyHive;SkyHive;Vancouver; British Columbia; Canada;Active;For Profit;0;0;0;0;4;8;6;;11/04/2022;0;Venture - Series Unknown;Venture - Series Unknown;0;48000000;5;0;61,0666922;-107,991707;55,001251;-125,002441
